name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"1BR, 3rd fl walkup, near Boystown & Wrigley",Lake View,Entire home/apt,1.0,1.0,2,1,80.0,0,30,100.0,41.95037,-87.6477,0
Private twin room front (K3),Irving Park,Private room,1.0,1.5,2,2,44.0,270,17,98.0,41.96224,-87.73601,1
Tranquil sunny flat in heart of Wicker Park!,West Town,Private room,1.0,1.0,2,3,60.0,0,32,97.0,41.91071,-87.67528,0
Modern Fulton Market loft with spectacular view,Near West Side,Entire home/apt,1.0,2.0,2,7,199.0,75,34,99.0,41.88682,-87.64435999999998,1
El Motel Dos with Patio in Logan Square,Logan Square,Entire home/apt,4.0,2.0,12,2,199.0,304,69,98.0,41.92423,-87.70028,0
Near McCormick Place and Minutes from Downtown!,Near South Side,Entire home/apt,1.0,1.0,4,2,105.0,347,229,98.0,41.84735,-87.61749,1
Home away from home near U of C,Woodlawn,Entire home/apt,3.0,2.0,6,3,100.0,268,68,95.0,41.78409,-87.60502,0
"Eclectic, Musical Pilsen: Steps from Train/Park",Lower West Side,Entire home/apt,2.0,1.0,5,3,175.0,177,101,98.0,41.85541,-87.67662,1
"Spacious home 5BR/2BH, 10 min downtown w/parking",West Town,Entire home/apt,5.0,3.5,10,2,335.0,131,174,97.0,41.89382,-87.66761,1
Charming home in Roscoe Village/W. Lakeview,North Center,Entire home/apt,3.0,3.0,8,2,138.0,264,114,96.0,41.93904000000001,-87.68141,1
Relax and Enjoy Chicago in an Updated and Private Apartment in Roscoe Village,North Center,Private room,1.0,1.0,4,2,99.0,332,235,98.0,41.9462,-87.67828,1
3BR getaway by Lake & Andersonville,Edgewater,Entire home/apt,3.0,1.0,6,3,129.0,0,84,100.0,41.98891,-87.66373,1
"River North's Rock N Roll - Covd Safer, No Common Areas",Near North Side,Entire home/apt,2.0,2.0,6,2,299.0,171,156,98.0,41.89789,-87.63507,1
Queen size bed in Chicago.(galewood),Austin,Private room,1.0,1.5,2,1,70.0,363,17,94.0,41.91287,-87.7935,0
Spacious apartment with beautiful garden,Logan Square,Entire home/apt,1.0,1.0,4,2,115.0,30,135,99.0,41.92178,-87.71199,1
2 Bedroom in heart of Lakeview,Lake View,Entire home/apt,2.0,1.0,4,1,75.0,0,326,95.0,41.93742,-87.66319,0
Wicker Park Landmark Church,West Town,Entire home/apt,2.0,2.0,4,2,250.0,0,11,98.0,41.91083,-87.68311,0
Curated Urban Chic Apartment with Street Views,West Town,Entire home/apt,2.0,2.0,6,2,197.0,172,111,98.0,41.90786,-87.67051,1
Modern and super cozy studio in Humboldt Park,West Town,Entire home/apt,2.0,1.0,2,1,66.0,132,207,96.0,41.90331,-87.69208,1
Spacious & Stylish Home at the ♥ of Wicker Park,West Town,Entire home/apt,3.0,2.5,16,2,182.0,85,145,97.0,41.90619,-87.68196,1
Spacious 5-BR home next to transit! Great area!,Logan Square,Entire home/apt,5.0,2.0,13,5,140.0,337,134,99.0,41.93161,-87.70777,1
"*CONVENIENT Wrigley 3 Bdrms, 5min Walk to Train*",Lake View,Entire home/apt,3.0,1.5,7,3,200.0,17,82,99.0,41.94481,-87.65436,1
Penthouse of the Southwest with Patio Logan Square,Logan Square,Entire home/apt,4.0,2.0,12,2,199.0,298,48,99.0,41.92636,-87.70182,0
"Garden Room - King Bed, Spacious Long Term",East Garfield Park,Private room,1.0,2.5,4,3,27.0,347,402,96.0,41.88302,-87.7096,0
1 BR Bucktown/Wicker Pk-Grdn Apt. - Great Location,West Town,Entire home/apt,1.0,1.0,4,2,100.0,363,39,98.0,41.91314000000001,-87.67461999999998,1
ENTIRE CITY ROW HOUSE  WITH 2 CAR PARKING & YARD,Near West Side,Entire home/apt,3.0,1.5,5,3,65.0,56,252,97.0,41.88258,-87.69194,0
"Egyptian Room - King Bed, 1 Block from CTA Train",East Garfield Park,Private room,1.0,2.5,2,3,21.0,322,353,97.0,41.88302,-87.7096,0
Charming Vintage Lincoln Park Row Home,Lincoln Park,Entire home/apt,3.0,2.5,7,2,300.0,0,12,98.0,41.92214,-87.63905,0
Urban Lincoln Park hideaway w/free street parking!,Lincoln Park,Entire home/apt,1.0,1.0,6,1,65.0,0,105,96.0,41.92754,-87.66719,1
"Florence Room - 3min to CTA, Long Term, Roomy",East Garfield Park,Private room,1.0,2.5,4,3,24.0,257,377,96.0,41.88302,-87.7096,0
Easily accessible Uptown room,Uptown,Private room,1.0,1.0,2,1,72.0,0,64,100.0,41.96827,-87.6625,1
Logan Square One Bedroom  Entire Apartment,Logan Square,Entire home/apt,1.0,1.0,2,7,75.0,0,49,99.0,41.92442,-87.70839000000002,0
"South Loop 2 bedroom, bathroom, free parking, WiFi",Near West Side,Entire home/apt,2.0,1.0,12,1,59.0,352,328,85.0,41.86284000000001,-87.64872,0
"Cute Room, Trendy Area, Rehabbed Apt",Avondale,Private room,1.0,1.0,2,6,30.0,0,20,98.0,41.94099,-87.72176999999998,0
Private Bed and Bathroom in a Great Location,West Town,Private room,1.0,1.0,2,1,77.0,360,156,99.0,41.89569,-87.68302,1
Charming 4 Bed 2 Bath Duplex in Wrigleyville,Lake View,Entire home/apt,4.0,2.0,12,1,147.0,297,167,95.0,41.94932,-87.65252,1
Spacious Duplex Condo Min From Loop,West Town,Entire home/apt,3.0,3.0,10,2,289.0,355,55,89.0,41.90249,-87.6961,0
Cozy Garden Unit Located in North Center,North Center,Entire home/apt,1.0,1.0,6,2,132.0,365,26,93.0,41.95499,-87.69006,0
Urban Oasis/10 min to loop via Pink Line/+Parking,Lower West Side,Entire home/apt,3.0,1.0,8,1,79.0,0,33,97.0,41.85666,-87.66925,1
Super Comfortable Bedroom For Frequent Travelers,West Town,Private room,1.0,1.0,2,2,71.0,341,113,97.0,41.89558,-87.66266,1
3-QueenbdFreeParkgMcCormick43GrnTrain,Grand Boulevard,Private room,1.0,1.0,2,1,45.0,364,23,84.0,41.81665,-87.62216,0
"Clean & Modern, entire apartment, 1 bedroom",Portage Park,Entire home/apt,1.0,1.0,2,3,95.0,315,26,100.0,41.95313,-87.76375999999998,1
"Beautiful 1-bedroom, 1-bathroom Bucktown Apartment",Logan Square,Entire home/apt,1.0,1.0,2,2,72.0,62,120,97.0,41.92121,-87.68294,1
Top floor of a city cottage (up to 6 guests),Lincoln Square,Private room,1.0,1.0,6,3,31.0,71,167,99.0,41.97765,-87.68415999999998,1
Matcha Room Hyde Park,Hyde Park,Private room,1.0,2.0,2,1,70.0,234,177,97.0,41.80212,-87.59911,0
Really nice private room and bathroom with parking,Hyde Park,Private room,1.0,1.0,3,2,80.0,325,158,96.0,41.79055,-87.59796,1
Desert Room Hyde Park,Hyde Park,Private room,1.0,2.0,2,1,70.0,49,179,96.0,41.80049,-87.59939,0
Chicago-Lincoln Park-Pvte Bdrm-Close to Everything,Lincoln Park,Private room,1.0,1.0,2,1,39.0,90,89,91.0,41.92108,-87.63928,1
HUGE Apartment NEAR TRAINS/BUS. FREE PARKING,Irving Park,Entire home/apt,2.0,1.5,10,2,160.0,141,45,98.0,41.95514,-87.72945,0
Luxurious Four-Level Home with Personal Touches,Lake View,Entire home/apt,6.0,4.5,16,2,1400.0,363,24,99.0,41.9377,-87.66811,0
One bedroom apartment on first floor,Bridgeport,Entire home/apt,1.0,1.0,3,3,48.0,88,147,94.0,41.83185,-87.65405,1
Lincoln Park Comfort Suite,Lincoln Park,Private room,1.0,1.0,4,2,175.0,0,56,99.0,41.93225,-87.64709,0
Lincoln Square In-laws Suite: Private Entrance,Lincoln Square,Private room,1.0,1.0,2,2,40.0,69,25,99.0,41.97104,-87.69561,1
Chicago Historic building,Hyde Park,Entire home/apt,1.0,1.0,2,15,67.0,337,19,84.0,41.80127,-87.60143000000002,0
Garden Apartment in Historic Hyde Park Mansion,Kenwood,Entire home/apt,2.0,2.0,5,2,175.0,0,71,99.0,41.80268,-87.59577,1
"Charming, Perfectly Located Logan Square Apt",Logan Square,Entire home/apt,1.0,1.0,4,1,76.0,0,154,97.0,41.92257,-87.70115,1
Old Town Condo - 2020 summer rental -,Near North Side,Entire home/apt,2.0,1.5,3,5,150.0,138,11,95.0,41.91059,-87.63911,0
Extremely Comfortable Room For Travel Lovers,West Town,Private room,1.0,1.0,4,1,92.0,87,47,96.0,41.89636,-87.66241,1
"Lincoln Park-Chicago Dwntown- Pvte Bdrm ""Gallery""",Lincoln Park,Private room,1.0,1.0,2,1,39.0,90,102,92.0,41.92403,-87.6405,1
"Small, clean Basement apartment. private",Avondale,Entire home/apt,1.0,1.0,2,2,70.0,89,81,94.0,41.93618,-87.69538,0
"Sunny Large Apartment, Near Beautiful Public Pool",West Town,Private room,1.0,1.0,2,2,51.0,170,175,96.0,41.88985,-87.66175,0
2 Bedrooms- Comfy Chicago Basement disinfected!,Hermosa,Entire home/apt,2.0,1.0,7,1,60.0,0,328,98.0,41.92359,-87.7392,0
"Flat in Art Deco Private Club & Walk to Shows, Dining & L",Uptown,Entire home/apt,1.0,1.0,4,2,71.0,288,267,98.0,41.96937,-87.65686,1
Private Floor - 8 miles from ORD + Shopping/Food,Belmont Cragin,Entire home/apt,1.0,1.0,3,2,55.0,355,31,94.0,41.93484,-87.78703,0
Vintage Apartment in Century Home with Parking,Edgewater,Entire home/apt,2.0,1.0,4,1,150.0,0,122,100.0,41.9796,-87.66739,1
Private Room in Cozy Townhouse (Harold Washington),Greater Grand Crossing,Private room,1.0,1.5,2,1,39.0,74,46,94.0,41.76769,-87.63009,0
Private Room in Cozy Townhouse (J B P DuSable),Greater Grand Crossing,Private room,1.0,1.5,2,1,39.0,89,45,96.0,41.76836,-87.62937,0
Private Room in Cozy Townhouse (Barack Obama),Greater Grand Crossing,Private room,1.0,1.5,2,1,39.0,89,33,94.0,41.76769,-87.63009,0
Spacious natural light LP townhouse,Lincoln Park,Entire home/apt,3.0,2.0,6,2,200.0,0,64,94.0,41.92386,-87.65773,0
"Private five room, 1000 sq ft. apartment",Edgewater,Entire home/apt,2.0,1.0,3,2,125.0,268,107,99.0,41.99327,-87.67272,0
"Modern, Super-CLEAN, Garden Level w/ Master Bath",Edgewater,Private room,1.0,1.0,1,8,45.0,233,12,100.0,41.99067,-87.6609,1
"Modern, Super-CLEAN, Garden Level Bedroom 1",Edgewater,Private room,1.0,1.0,1,8,41.0,284,16,100.0,41.98905,-87.66186,1
"Explore the City from an Elegant, Urban Retreat",West Town,Entire home/apt,1.0,1.0,4,2,99.0,352,231,98.0,41.89199,-87.65802,1
Wicker Park Coach House,West Town,Entire home/apt,2.0,1.0,4,3,159.0,50,156,98.0,41.9067,-87.67738,0
Hip Chicago Apartment - FREE Parking Spot Included,Logan Square,Entire home/apt,2.0,1.0,4,1,64.0,350,485,98.0,41.91545,-87.71085,1
"Large room-private bth and balcony, Wicker Park!!!",West Town,Private room,1.0,1.0,4,1,78.0,346,195,96.0,41.90004,-87.67184,0
Bronzeville Treasure near Hyde Park,Grand Boulevard,Entire home/apt,3.0,2.0,5,3,68.0,324,137,88.0,41.80715,-87.61169,0
'Secret Garden' Apartment in Wrigleyville,Lake View,Entire home/apt,1.0,1.0,2,2,55.0,175,221,95.0,41.94591,-87.65205,1
Kitchy Large1B steps to beach Aragon & Riv theater,Uptown,Entire home/apt,1.0,1.0,4,1,250.0,0,56,98.0,41.96785,-87.65179,1
Siddharth Arya,Hermosa,Private room,1.0,1.0,1,60,30.0,365,45,94.0,41.93523,-87.7405,0
"Logan Square, light filled, private space.",Logan Square,Entire home/apt,2.0,1.0,4,2,113.0,0,20,98.0,41.92796,-87.7086,0
Wicker Park Large 2bd 2ba in Intimate 2-flat Bldg.,West Town,Entire home/apt,2.0,2.0,4,3,128.0,19,73,98.0,41.90603,-87.6785,1
Cozy 2 Bedroom Logan Square apt. by transportation,Logan Square,Entire home/apt,2.0,1.0,5,1,42.0,0,338,93.0,41.91642,-87.70351,1
Spacious Old Town Loft in a Great Location.,Near North Side,Entire home/apt,4.0,2.5,14,1,169.0,359,224,99.0,41.91037,-87.64178000000003,1
"Large Bedroom, Private Bath, Near Stores & Bus [M3",Near West Side,Private room,1.0,1.0,2,14,65.0,180,17,99.0,41.88097,-87.68732,1
Cozy One Bedroom on the River (River North),Near North Side,Entire home/apt,1.0,1.0,4,2,76.0,0,13,97.0,41.89272,-87.64185,0
Historic Chicago Style  Bungalow !,Portage Park,Private room,1.0,1.0,2,2,44.0,90,71,97.0,41.95977,-87.76831999999997,1
Loft Style Private Apt 2 (1 Room- 420 Friendly),Edgewater,Private room,1.0,1.0,2,1,38.0,45,203,96.0,41.99588,-87.67161999999998,0
lux furnished condo with A+++ view in River North,Near North Side,Entire home/apt,1.0,1.0,2,31,76.0,261,22,99.0,41.89468,-87.62567,0
"The Dickens Place, flat! One of Hollywood’s own.",Logan Square,Entire home/apt,2.0,1.0,12,2,136.0,320,234,96.0,41.92026,-87.71145,0
"Spacious Queen Room w/Desk, TV, Bathroom &Home Gym",Lake View,Private room,1.0,1.0,1,10,67.0,90,64,98.0,41.94525,-87.65709,1
"Cozy Condo, close to Downtown & Lake Michigan",Oakland,Private room,1.0,1.0,2,2,50.0,78,124,98.0,41.82338,-87.60333,1
Private Room in a Sunny Plant Filled Chicago Condo,West Town,Private room,1.0,1.0,2,1,41.0,155,226,99.0,41.89818,-87.66758,1
In the heart of Pilsen's art community.,Lower West Side,Private room,1.0,1.0,2,2,23.0,0,101,97.0,41.85657,-87.65361999999998,1
Perfect Vintage 1BR in Ukrainian Village,West Town,Entire home/apt,1.0,1.0,4,1,59.0,345,170,91.0,41.90001,-87.68011,0
"6 miles from Wrigley, Cubs '16 World Series Champs",Portage Park,Entire home/apt,1.0,1.0,4,1,91.0,0,62,98.0,41.94432000000001,-87.75361,0
"Modern, private oasis in Wicker Park with deck!",West Town,Entire home/apt,1.0,1.0,4,2,129.0,0,20,93.0,41.90073,-87.67025,1
Spacious Clean Chicago Three Bedroom w/Parking,West Town,Entire home/apt,3.0,2.0,8,2,162.0,179,111,98.0,41.89286,-87.68706,1
"A Chicago Home Private Sunny Chic, Roscoe Village & Wrigley",North Center,Entire home/apt,1.0,1.0,3,2,109.0,74,120,98.0,41.94643,-87.68399000000002,1
"Sophisticated Edgewater 3BR, 1600 ft2 (+parking!)",Edgewater,Entire home/apt,3.0,1.5,8,1,83.0,233,106,96.0,41.98994,-87.66185,0
Spacious & Relaxing Loft in Awesome Andersonville!,Edgewater,Private room,1.0,1.0,2,3,48.0,179,161,99.0,41.9896,-87.6714,1
HUGE Penthouse Near Lake & McCormick Pl w/Parking,Douglas,Entire home/apt,3.0,2.0,10,3,168.0,166,97,88.0,41.83065,-87.61846,0
Logan square Hot spot!  Casa Havana,Avondale,Entire home/apt,3.0,1.0,6,7,95.0,8,20,99.0,41.93266,-87.70723000000002,1
Roscoe Village Haven,North Center,Entire home/apt,2.0,1.0,4,2,96.0,201,97,100.0,41.94428,-87.68633,1
Lakeview Flat,North Center,Entire home/apt,2.0,1.0,8,1,161.0,322,143,97.0,41.95219,-87.67404,1
The Bucktown House - Damen Suite - Since 2008,Logan Square,Entire home/apt,3.0,2.0,8,4,338.0,351,53,97.0,41.92055,-87.67794,0
The Bucktown House - Historic Coachhouse Since '08,Logan Square,Entire home/apt,4.0,2.0,10,4,405.0,247,24,96.0,41.92214,-87.68344,0
Tranquil & Lush Haven in happening Bucktown,Logan Square,Entire home/apt,2.0,1.0,5,4,134.0,198,24,92.0,41.92214,-87.68344,0
Top Floor of Historic Coachhouse,Logan Square,Entire home/apt,2.0,1.0,5,4,203.0,324,32,98.0,41.92214,-87.68344,0
Guest bedroom in Rogers Park by the lake,Rogers Park,Private room,1.0,1.0,2,2,45.0,94,19,100.0,42.00838,-87.66233000000003,0
SHARED Artist Loft . Very Unique,Near North Side,Private room,1.0,1.0,3,1,80.0,333,479,99.0,41.89047,-87.63082,1
The Firehouse B&B - The Bunk Room,Irving Park,Private room,1.0,1.0,2,1,110.0,179,18,99.0,41.94858,-87.71011999999997,0
The Hide-Away | South Loop | Entire Apartment,Near South Side,Entire home/apt,1.0,1.0,4,1,78.0,319,148,88.0,41.86494,-87.62501999999998,0
Cozy garden apartment historic Jackson Bvld.,Near West Side,Entire home/apt,1.0,1.0,2,2,136.0,338,183,99.0,41.87694000000001,-87.66458,1
"Clean & Renovated, Walking to distance to lake!",Near North Side,Entire home/apt,1.0,1.0,3,4,90.0,85,81,96.0,41.90339,-87.62925,1
Clean Quiet Open Study loft Apartment in Pilsen,Lower West Side,Private room,2.0,1.0,2,1,41.0,89,24,98.0,41.85357,-87.68268,1
Decompress on a Sophisticated Chaise at a Glamorous Hideaway,West Town,Entire home/apt,1.0,1.0,3,2,176.0,361,80,100.0,41.89976,-87.67868,0
Two Bedroom Suite in Boutique Hotel,Near North Side,Entire home/apt,2.0,1.0,6,1,500.0,0,117,94.0,41.89774,-87.6364,1
"*The Madison-Modern 2Br 12 mins to Downtn, 1 park",Near West Side,Entire home/apt,2.0,2.0,6,2,97.0,354,221,96.0,41.88094,-87.67837,1
Twin bed private room (K3),Irving Park,Private room,1.0,1.5,1,2,50.0,90,10,88.0,41.96185,-87.73633000000002,1
Cute cozy single family home,West Town,Entire home/apt,3.0,3.5,8,3,250.0,89,24,97.0,41.89814000000001,-87.69568000000002,0
Cozy Bungalow Getaway,Albany Park,Entire home/apt,1.0,1.0,2,2,75.0,129,29,100.0,41.97272,-87.73985,1
Entire apt all yours. Reserved guests n apt only!,Lincoln Square,Entire home/apt,1.0,1.0,3,3,49.0,0,33,92.0,41.96218,-87.67738,0
The Marney Room: Airbnb Superhost,Grand Boulevard,Private room,1.0,1.0,2,1,65.0,324,89,98.0,41.8121,-87.6083,1
Downtown Oasis,Loop,Entire home/apt,2.0,2.0,4,14,100.0,0,33,97.0,41.86917,-87.62898,0
Pilsen Place.  Mi Casa... (guest room),Lower West Side,Private room,1.0,1.0,2,1,36.0,0,12,98.0,41.85933,-87.67169,0
"Large, Reno’d 3 BR apt near Everything!",Lake View,Entire home/apt,3.0,2.0,6,2,187.0,108,120,100.0,41.93509,-87.65038,1
The Compound a hidden oasis in Logan Square,Logan Square,Entire home/apt,2.0,2.0,5,3,200.0,93,30,94.0,41.91977,-87.69579,0
Upscale 3 Bedroom Wrigley Apartment,Lake View,Entire home/apt,3.0,2.5,8,20,425.0,56,19,100.0,41.95027,-87.6492,0
Room in Stylish Vintage Flat | Best Location,Logan Square,Private room,1.0,1.0,1,4,50.0,0,83,97.0,41.9161,-87.68848,0
Private Bedroom - Humboldt Park,Humboldt Park,Private room,1.0,1.0,2,1,38.0,219,49,94.0,41.90065,-87.70675,1
Ukrainian Village Artist Loft – Spacious & Serene,West Town,Private room,1.0,1.0,2,3,69.0,79,86,98.0,41.90069,-87.68594,0
"Urban Oasis, Honeymoon Suite",West Town,Private room,1.0,1.0,2,2,182.0,365,13,97.0,41.90923,-87.67532,1
Gorgeous Wicker Park Victorian with Outdoor Space,West Town,Entire home/apt,2.0,1.0,2,3,145.0,108,59,97.0,41.90836,-87.68121,1
Business & Family Friendly Eden in Edgewater,Edgewater,Entire home/apt,3.0,2.0,7,2,190.0,0,68,97.0,41.98836,-87.66165,0
Comfortable Place near Midway Airport & Train,Brighton Park,Entire home/apt,2.0,1.0,4,2,73.0,41,50,96.0,41.80882,-87.69986,1
Modern 1bdr 2nd floor condominium,Douglas,Entire home/apt,1.0,1.0,2,3,120.0,80,72,98.0,41.82959,-87.61964,0
Centrally located Apartment near Fulton Market,West Town,Entire home/apt,1.0,1.0,4,1,215.0,178,76,100.0,41.89188,-87.6574,1
Designer Suite on Tree Lined Street in Bucktown,Logan Square,Entire home/apt,3.0,1.0,5,4,158.0,362,34,96.0,41.92214,-87.68344,0
One bedroom/bath historic Hyde Park,Hyde Park,Private room,1.0,1.0,2,3,40.0,275,156,96.0,41.79948,-87.59925,0
Great Spot Next to Lincoln Park in Chicago,Lincoln Park,Entire home/apt,1.0,1.0,4,1,68.0,347,178,89.0,41.91566,-87.63595,0
Northside Chicago Favorite:  Rehabbed w/parking!,Rogers Park,Entire home/apt,3.0,1.5,6,2,176.0,48,168,100.0,42.01382,-87.67111,1
Spacious Modern 2BR | Vibrant Southport 'hood,Lake View,Entire home/apt,2.0,1.0,5,1,115.0,0,169,99.0,41.9433,-87.66356999999998,1
"Walk to Riot Fest, Pilsen:Little Village, Art",South Lawndale,Private room,1.0,1.0,2,1,70.0,359,11,90.0,41.84781,-87.70045,0
Beautiful Chicago Home steps to Wrigley Field! 1,Lake View,Private room,1.0,1.0,2,365,175.0,361,76,99.0,41.94599,-87.65308,1
1 mile to USMLE & minutes to O'Hare in Safest Area,Norwood Park,Private room,1.0,1.0,2,2,35.0,90,229,95.0,41.98294,-87.8196,1
Warm up to Ukrainian Village,West Town,Entire home/apt,3.0,2.0,6,2,94.0,0,94,95.0,41.89432,-87.67855,0
Home of Grace II,Greater Grand Crossing,Entire home/apt,1.0,1.0,4,2,75.0,88,94,98.0,41.7651,-87.63247,1
CASA NEWPORT,Lake View,Entire home/apt,1.0,1.0,4,3,152.0,195,37,99.0,41.94491,-87.64993,1
Two blocks from Wrigley Field and the Metro.,Lake View,Private room,1.0,1.0,2,1,63.0,166,154,99.0,41.95005,-87.65853,1
"Lovely,large 1BR flat in Logan Square",Logan Square,Entire home/apt,1.0,1.0,3,1,63.0,19,249,96.0,41.92748,-87.71818,1
"Large & Cozy, 1BR Lincoln Park Condo. Great Value!",Lincoln Park,Entire home/apt,1.0,1.0,3,1,63.0,0,84,98.0,41.9217,-87.66534,1
North Side Near Wrigley Lakeview Walk Everywhere!!,Lake View,Entire home/apt,2.0,1.0,5,1,172.0,352,84,100.0,41.94363,-87.66438000000002,1
Spacious private room/bath in modern home,West Town,Private room,1.0,1.0,2,14,90.0,138,79,99.0,41.89294,-87.66019,1
Windy City Piggy - A One of a Kind Stay,Lake View,Private room,1.0,1.0,2,1,89.0,0,35,99.0,41.93841,-87.65948,1
Private suite near train.,Albany Park,Private room,1.0,1.0,1,6,65.0,294,11,98.0,41.96634,-87.70061,1
Wrigleyville townhome two blocks from ballpark,Lake View,Entire home/apt,2.0,1.0,4,2,350.0,179,37,96.0,41.95165,-87.65644,1
Weekend getaway in beautiful Lakeview,Lake View,Private room,1.0,2.0,2,2,70.0,65,30,81.0,41.93715,-87.66448000000003,0
King suite - 2-bedroom suite with free parking,Hyde Park,Private room,2.0,1.0,5,2,90.0,0,165,95.0,41.79035,-87.59775,1
Beautiful Three Bedroom Apartment near Loyola,Rogers Park,Entire home/apt,3.0,2.0,7,1,80.0,297,141,98.0,41.99833,-87.66198,1
Cheery Vintage Rehab with Huge Windows,Edgewater,Entire home/apt,2.0,1.0,5,1,85.0,0,51,97.0,41.98933,-87.66711,0
Wrigleyville Mansion - Sleeps 16+,Lake View,Entire home/apt,6.0,5.0,16,7,9999.0,18,16,100.0,41.94941,-87.67217,1
The Sleeping Study: Airbnb Superhost,Grand Boulevard,Private room,1.0,1.0,2,3,55.0,324,99,99.0,41.81305,-87.61039,1
Cozy Vintage Apartment: Long-Term Stays & Getaways,Lincoln Square,Entire home/apt,1.0,1.0,3,1,53.0,23,38,95.0,41.97462,-87.67658,0
Chicago’s Best Airbnb In hip Avondale/Logan Sq,Avondale,Entire home/apt,2.0,1.0,6,28,146.0,17,76,98.0,41.93781,-87.72567,1
Luxury Condo with Views of Downtown and Lake Michigan,Near North Side,Entire home/apt,1.0,1.0,2,2,149.0,0,18,88.0,41.89306,-87.62023,0
"Bright, Modern Apartment in a Vintage Greystone",West Town,Entire home/apt,1.0,1.0,4,2,125.0,295,179,99.0,41.89534,-87.67586,1
Quiet Bungalow in the Big City,Avondale,Entire home/apt,2.0,1.0,4,3,95.0,80,72,97.0,41.93418,-87.73149000000002,0
Bingham 2/2,Logan Square,Entire home/apt,3.0,2.0,6,2,231.0,58,57,98.0,41.91884,-87.69266999999998,1
Chic and Charming Vintage Condominium in Lincoln Park,Lincoln Park,Entire home/apt,3.0,2.0,6,2,139.0,269,141,96.0,41.92171,-87.66471999999997,1
Hotel Gravy,Lincoln Park,Entire home/apt,2.0,1.0,4,2,204.0,49,25,95.0,41.9312,-87.64075,0
Comfy house in the northwest.,Belmont Cragin,Shared room,1.0,1.5,3,1,57.0,179,20,94.0,41.93638,-87.77712,0
"Best Location, Southport Corridor",Lake View,Entire home/apt,3.0,1.0,6,1,176.0,89,166,98.0,41.94722,-87.66722,1
420fr. Blue Sky Apartment -Patio&Grill- Gatherings,Portage Park,Entire home/apt,3.0,1.0,9,2,230.0,363,22,96.0,41.94062,-87.75515,0
Short stay-Warm and Cozy room in Beautiful Condo,Rogers Park,Private room,1.0,1.5,1,3,35.0,286,82,97.0,42.02132,-87.67378000000002,1
Edgewater Quietude - Combined 2 Bedrooms,Edgewater,Private room,2.0,1.0,4,1,110.0,268,65,97.0,41.9884,-87.66368,1
Basement room near Midway Airport,Archer Heights,Private room,1.0,1.0,3,1,36.0,6,425,94.0,41.80219,-87.72153,1
Cozy Wrigley-Adjacent Room,Uptown,Private room,1.0,1.0,3,2,52.0,0,120,93.0,41.95964,-87.65453000000002,0
Oasis in the City- walking distance to McCormick,Armour Square,Entire home/apt,3.0,1.0,6,2,129.0,67,91,94.0,41.84842,-87.63462,0
Tropical Bungalow Getaway in Quiet Neighborhood,Portage Park,Entire home/apt,1.0,1.0,2,2,98.0,166,40,96.0,41.9568,-87.75205,1
Top Floor Historic District Home (1916) Awaits You,Irving Park,Entire home/apt,3.0,1.0,4,1,103.0,0,79,97.0,41.96088,-87.71155,1
Family Friendly Triplex a Short Walk from Wrigley,Lake View,Entire home/apt,3.0,2.5,7,3,199.0,1,35,99.0,41.94222,-87.66313000000002,0
Wrigleyville/Boystown/Entire Private Floor!,Lake View,Entire home/apt,1.0,1.0,3,1,149.0,179,114,97.0,41.95409,-87.65071,1
"Comfortable, quiet private bedroom & bathroom",West Ridge,Private room,1.0,1.0,2,2,47.0,212,97,97.0,42.00033,-87.68975999999998,1
Spacious 2 bed/2 bath in Logan Square,Logan Square,Entire home/apt,2.0,2.0,5,2,150.0,10,74,100.0,41.92512,-87.71297,1
Vintage Fairytale Gingerbread Tudor House & Garden,Forest Glen,Entire home/apt,3.0,2.5,12,2,299.0,362,55,88.0,41.98921,-87.74256,1
Small Sleeper sofa in eclectic living room.,Logan Square,Shared room,1.0,1.0,2,1,27.0,48,100,100.0,41.92122,-87.69832,1
Large vintage inspired room in the heart of Logan,Logan Square,Private room,1.0,1.0,2,2,60.0,354,215,98.0,41.92922,-87.70573,1
Uptown private queen bed & bath steps to transit,Uptown,Private room,1.0,1.0,2,1,75.0,0,57,98.0,41.97069000000001,-87.65691,0
中唐【302】Chinatown,Armour Square,Private room,1.0,2.0,4,1,69.0,89,132,93.0,41.84947,-87.63164,0
Can't beat this 2min walk to Wrigley!,Lake View,Entire home/apt,2.0,2.0,6,1,104.0,323,56,95.0,41.95076,-87.65323000000002,0
PRIVATE STUDIO APT w/KITCHEN! NEAR LAKE & GOLF!,South Shore,Entire home/apt,1.0,1.0,2,2,75.0,364,24,83.0,41.76565,-87.5681,0
Amazing Lincoln Park home with Fun Game Room,Lincoln Park,Entire home/apt,4.0,3.5,10,3,800.0,263,79,100.0,41.91344,-87.65281999999998,1
"Garden Apartment, close to ""L"" and Wrigley",North Center,Entire home/apt,1.0,1.0,4,1,100.0,0,111,99.0,41.95203,-87.67869,0
"Luxury Condo, close to everything!",Near South Side,Entire home/apt,2.0,2.0,6,2,550.0,365,93,99.0,41.86483,-87.62586999999998,1
Private Room - Memorable Andersonville,Uptown,Private room,1.0,1.0,2,1,86.0,178,55,100.0,41.97579,-87.66529,1
