name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Large, Private Logan Square Studio",Logan Square,Entire home/apt,1.0,1.0,4,2,39.0,0,642,96.0,41.92451,-87.69385,1
Charming 1906 cottage Northside,Uptown,Entire home/apt,3.0,1.5,6,3,232.0,0,14,95.0,41.97053,-87.67267,0
"Spacious Room with plush King Bed, Rogers Park",Rogers Park,Private room,1.0,1.0,2,3,86.0,364,36,99.0,42.00435,-87.67501,0
Private Lincoln Square Garden Apt,Lincoln Square,Entire home/apt,1.0,1.0,4,2,98.0,0,291,98.0,41.96714,-87.69611,1
Groovy on the Lake  private bd/bth,Lake View,Private room,2.0,0.0,1,1,130.0,365,28,94.0,41.94286,-87.63919,0
Logan Square Modern Vintage Garden,Logan Square,Entire home/apt,2.0,1.0,4,3,132.0,360,260,97.0,41.93142,-87.69989,0
Chicago Lakefront Sailing Yacht,Near South Side,Entire home/apt,2.0,1.0,4,2,495.0,365,28,95.0,41.85467,-87.61417,1
Home Away From Home,Grand Boulevard,Entire home/apt,1.0,1.0,3,2,89.0,365,227,97.0,41.82293,-87.61559,0
Drop-dead fab on the Lake  2bd/2bth,Lake View,Entire home/apt,2.0,2.0,3,1,490.0,365,35,96.0,41.94284,-87.63919,0
"Spacious Bedroom, steps to El train",Lincoln Square,Private room,1.0,1.0,2,2,75.0,365,44,90.0,41.96364000000001,-87.68382,0
Great neighborhood! Price Drop *,West Town,Private room,1.0,2.0,3,1,57.0,365,127,89.0,41.88961,-87.66268000000002,0
"Price Drop! Great Deal, Great area!",West Town,Private room,1.0,2.0,4,1,78.0,365,143,90.0,41.89003,-87.66241,0
"Recent Price Drop, awesome area!",West Town,Shared room,1.0,2.0,4,1,69.0,364,66,91.0,41.89054,-87.66261,0
"Stylish, comfortable room in nice Duplex",North Center,Private room,1.0,1.0,1,7,43.0,0,161,97.0,41.93537,-87.67945999999998,1
Great for Students! Affordability+Location,West Town,Private room,1.0,2.0,2,1,40.0,241,97,91.0,41.89056,-87.66086,0
The Stained Glass Apt. Edgewater #1,Edgewater,Private room,1.0,1.0,2,2,66.0,365,83,98.0,41.99667,-87.66213,1
Designer Lakeview Haven. Private Rooftop Oasis!,Lake View,Entire home/apt,2.0,2.5,4,7,134.0,32,56,100.0,41.94432000000001,-87.67128000000002,1
3 Bedroom Apartment in Historic Wicker Park Home,West Town,Private room,3.0,1.0,4,2,226.0,1,40,96.0,41.90686,-87.67319,0
Edgebrook Lg bdr by golf course,Forest Glen,Private room,1.0,1.0,2,3,55.0,364,67,99.0,41.99244,-87.75569,1
Edgebrook bdr by golf course,Forest Glen,Private room,1.0,1.0,2,3,50.0,364,66,98.0,41.99201,-87.75719000000002,1
Bedrm/Bath - Swanky Northside Condo.,West Ridge,Private room,1.0,1.0,1,3,50.0,358,26,98.0,41.99348,-87.68121,0
Huge private br in Wicker/Ukranian,West Town,Private room,1.0,1.0,2,2,85.0,365,110,99.0,41.9025,-87.66704,0
"2 BD Condo by downtown,park,lake",Near North Side,Entire home/apt,2.0,1.0,4,30,85.0,365,150,97.0,41.90445,-87.63336,1
Close to Chicago music Fest! (Students discount),West Town,Private room,1.0,2.0,2,1,39.0,356,131,88.0,41.88999,-87.66096,0
"Spacious Studio, Amazing Location!",Lake View,Entire home/apt,1.0,1.0,2,3,85.0,62,625,94.0,41.93932,-87.65218,0
Palmer Treehouse - Bedroom 2,Logan Square,Private room,2.0,1.0,2,2,70.0,365,73,85.0,41.92255,-87.70293000000002,0
Logan Square-Chicago Prime Location-Longer Stays,Logan Square,Entire home/apt,3.0,1.0,5,2,141.0,362,134,97.0,41.92669,-87.699,0
Lovely 2 bedroom in Lincoln Square,Lincoln Square,Entire home/apt,2.0,1.0,4,28,84.0,114,186,97.0,41.97847,-87.68087,0
LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,Loop,Entire home/apt,1.0,1.0,3,31,130.0,321,13,94.0,41.88624,-87.61565999999998,1
3 Bedroom Victorian Beauty at Logan Square,Logan Square,Entire home/apt,3.0,1.0,4,25,85.0,0,21,95.0,41.92993,-87.71893,1
Stunning Downtown Artist Loft (West Loop),Near West Side,Entire home/apt,1.0,1.0,2,2,150.0,126,255,98.0,41.88676,-87.64935,1
Comfy Room & Bike in Roscoe Village,North Center,Private room,1.0,2.0,2,2,78.0,0,128,96.0,41.94994000000001,-87.682,1
Italian style in elegant apartment,Uptown,Entire home/apt,3.0,2.0,5,365,299.0,365,16,95.0,41.96046,-87.66346,0
04. Pullout sofa bed in common room,West Ridge,Shared room,1.0,2.0,2,1,79.0,180,139,93.0,42.01653,-87.68788,0
"Your Own Home, 2-Bath with Laundry and Parking!",Logan Square,Entire home/apt,1.0,2.0,4,1,204.0,365,56,94.0,41.92285,-87.68323000000002,1
"Cozy, Beautiful & Vintage Drenched",West Town,Entire home/apt,1.0,1.0,4,28,95.0,203,87,97.0,41.90435,-87.67518000000003,0
Lux 2bd 2bt Lakeview-Wrigleyville,Lake View,Entire home/apt,2.0,2.0,6,32,239.0,365,15,85.0,41.9443,-87.64661,0
Cozy Private Room in a unique Chicago Penthouse,Lincoln Park,Private room,3.0,2.5,2,2,85.0,139,98,99.0,41.9217,-87.65959000000002,1
Modern and Spacious,Lower West Side,Entire home/apt,1.0,1.0,3,7,125.0,44,164,98.0,41.85939000000001,-87.65271,1
MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L,Lincoln Park,Entire home/apt,2.0,1.0,4,32,69.0,294,36,85.0,41.9263,-87.65567,0
Private Entrance/Steam Room Ensuite,Logan Square,Private room,1.0,1.0,2,2,110.0,172,145,100.0,41.92649,-87.7138,1
Charming apartment in Old Town,Lincoln Park,Entire home/apt,1.0,1.0,2,2,115.0,254,318,98.0,41.91316,-87.63813,1
Modern Guest Bedroom Room in Designers House,East Garfield Park,Private room,1.0,1.5,2,3,101.0,362,23,98.0,41.88449,-87.69659,0
Modern Loft-Style Pad in Wicker!,West Town,Private room,1.0,1.0,2,3,50.0,0,133,97.0,41.90677,-87.66788000000003,1
Stay in a Designer Penthouse with Art Gallery,West Town,Entire home/apt,3.0,2.0,8,1,139.0,350,297,99.0,41.89505,-87.65449,1
"Huge Victorian near Loyola, Lake #1",Rogers Park,Private room,1.0,1.5,2,2,69.0,324,207,99.0,42.00498,-87.66712,1
"Huge Victorian near Loyola, Lake #2",Rogers Park,Private room,1.0,1.5,2,2,59.0,324,240,99.0,42.00623,-87.66794,1
"Huge Victorian near Loyola, Lake #3",Rogers Park,Private room,1.0,1.5,2,2,59.0,324,233,98.0,42.00426,-87.66693000000002,1
Huge Victorian near Loyola 2bd Apt,Rogers Park,Entire home/apt,2.0,1.0,4,2,159.0,364,176,98.0,42.00381,-87.67081999999998,1
Beautiful Condo in Chicago,Near North Side,Entire home/apt,1.0,1.0,2,30,137.0,318,30,92.0,41.8943,-87.62609,1
Chicago Women's ResidenceFlorenceRm,North Lawndale,Private room,3.0,2.0,4,2,45.0,89,10,88.0,41.85423,-87.70784,0
Charming space in Boystown/Lakeview,Lake View,Private room,1.0,1.0,2,2,79.0,309,320,97.0,41.94376,-87.65164,1
MODERN LOFT Downtown by McCormick w/KING BED WiFi,Near South Side,Entire home/apt,1.0,1.0,3,30,20.0,325,22,100.0,41.85278,-87.62453000000002,1
Private room in a cozy city condo,Rogers Park,Private room,1.0,1.0,2,1,43.0,0,132,95.0,42.01761,-87.67987,0
"Lincoln Park Studio, Great Value!",Lincoln Park,Entire home/apt,1.0,1.0,2,4,75.0,30,543,95.0,41.92628,-87.64026,0
"Boystown Studio, Outstanding Value!",Lake View,Entire home/apt,1.0,1.0,2,5,65.0,20,504,93.0,41.9395,-87.64483,0
3 Bedroom Charming Vintage Hideaway,Near West Side,Entire home/apt,3.0,1.0,6,30,111.0,0,316,98.0,41.87086,-87.68305,1
Wicker Park - Garden At The Heart of It All,West Town,Entire home/apt,2.0,1.0,3,4,128.0,364,182,98.0,41.91095,-87.67783,0
Spacious 3BD Home in Ravenswood,Lincoln Square,Entire home/apt,3.0,2.0,5,1,130.0,233,11,96.0,41.97009,-87.67423000000002,0
Jumbo 4br in the Wicker/Ukranian,West Town,Entire home/apt,4.0,3.0,10,5,279.0,285,22,99.0,41.90439,-87.68212,0
Private room near UIC Medical Dist.,Near West Side,Private room,1.0,1.0,2,1,103.0,365,103,93.0,41.8719,-87.68486,0
Lincoln Park Single Family Home,Lincoln Park,Entire home/apt,4.0,3.5,16,2,427.0,357,77,98.0,41.92913,-87.66920999999998,1
"Historic walk-up, safe area, close to everything!",Lincoln Park,Entire home/apt,2.0,2.0,1,1,100.0,19,23,98.0,41.91355,-87.63675,0
Logan Square Vintage Deluxe Private Suite & Bath,Logan Square,Private room,1.0,1.0,2,3,70.0,318,313,99.0,41.92083,-87.68896,1
Wrigley Hostel - Queen Bed Room,Lake View,Private room,1.0,11.0,2,1,54.0,317,41,88.0,41.9459,-87.65460999999998,0
Private bed & bath w/garage parking,Irving Park,Private room,1.0,1.0,2,2,61.0,364,125,94.0,41.95564,-87.71154,0
"Bright open house, garden & deck",Uptown,Entire home/apt,3.0,2.0,6,3,168.0,327,24,92.0,41.96952,-87.67239000000002,0
Cozy room in Charming Apartment,West Town,Private room,1.0,1.0,2,2,43.0,0,87,94.0,41.91037,-87.68721,0
02b. Twin bed in Coed Space,West Ridge,Shared room,1.0,2.0,1,1,16.0,178,158,92.0,42.01653,-87.68788,0
Quaint Serenity in Bronzeville,Grand Boulevard,Private room,1.0,1.0,2,2,55.0,364,123,93.0,41.81266,-87.61586,0
01b. Twin bed in Shared Foster Cat Room,West Ridge,Shared room,1.0,2.0,1,1,16.0,144,99,96.0,42.01653,-87.68788,0
The Biddle House (#2),Lincoln Park,Entire home/apt,2.0,1.0,5,4,130.0,57,41,96.0,41.91307000000001,-87.64012,1
The Biddle House (WHOLE HOUSE),Lincoln Park,Entire home/apt,4.0,2.0,10,4,401.0,233,16,88.0,41.91406,-87.63934,1
Private room in Chicago,Oakland,Private room,1.0,1.0,2,3,55.0,365,94,93.0,41.82936,-87.6048,0
Charming Home in Chicago,Beverly,Private room,1.0,1.5,2,2,49.0,364,166,97.0,41.71348,-87.67195,1
Spacious & serene in hip spot. Sleeps 4.,Lower West Side,Private room,1.0,1.0,4,2,30.0,0,187,98.0,41.85763,-87.66235999999998,0
"Magic Factory, Chef kitchen, art, dine, relax 3bdr",Near North Side,Entire home/apt,3.0,3.0,10,3,175.0,97,28,98.0,41.90607,-87.6488,0
The Historic Florsheim Mansion,Near North Side,Entire home/apt,5.0,5.0,11,2,328.0,332,62,94.0,41.90697,-87.62941,1
Private Northside Chicago Apt Near Beach & Transit,Rogers Park,Entire home/apt,1.0,1.0,6,2,98.0,357,103,97.0,42.01114000000001,-87.67634,1
Lincoln Park/De Paul area.,Lake View,Private room,1.0,1.0,3,4,64.0,363,275,98.0,41.93455,-87.66141,0
Bedroom in Lincoln Park apartment.,Lincoln Park,Private room,1.0,1.0,2,1,43.0,89,11,82.0,41.92801,-87.64443,0
East Pilsen,Lower West Side,Entire home/apt,2.0,1.0,6,2,103.0,89,40,100.0,41.859,-87.6462,1
Private Nook in Leafy Andersonville,Uptown,Private room,1.0,1.0,2,4,70.0,263,275,96.0,41.97282,-87.67257,0
Quiet Rooms2 in Quiet Neighborhood,Chatham,Private room,2.0,1.0,4,2,42.0,355,84,95.0,41.72836,-87.6136,1
Park Views-Walk to Orange Line(MDW),Mckinley Park,Entire home/apt,2.0,1.0,4,1,55.0,20,276,94.0,41.82516,-87.67456,1
iKlektik House // Cardinal,West Town,Entire home/apt,1.0,1.0,4,3,92.0,0,326,98.0,41.89322,-87.68571999999998,1
Chic 1 BR apt in Historic Edgewater,Edgewater,Entire home/apt,1.0,1.0,3,90,57.0,187,11,90.0,41.98773,-87.65602,0
Cozy 2BR Apt - Humboldt Park,West Town,Entire home/apt,2.0,1.0,4,180,86.0,167,113,97.0,41.89665,-87.69719,0
Victorian greystone near Loyola U!,Edgewater,Entire home/apt,2.0,1.0,7,3,95.0,277,234,92.0,41.99772,-87.67329000000002,0
Room in Penthouse in Lakeview,Lake View,Private room,1.0,1.0,2,2,75.0,89,28,88.0,41.93465,-87.65754,0
*Recent Price Drop! Superb location!,West Town,Private room,1.0,2.0,2,1,71.0,365,96,92.0,41.89003,-87.66254,0
Spacious Stylish One Bedroom Apt In HydePark,Hyde Park,Entire home/apt,1.0,1.0,2,2,69.0,237,342,93.0,41.79984,-87.59465,0
Lakeview / Lincoln Park Vintage,Lake View,Entire home/apt,2.0,1.0,6,2,120.0,263,34,96.0,41.93396,-87.65897,0
Casa Corazón (W) near Rush / UIC,Lower West Side,Private room,1.0,1.5,1,2,70.0,365,120,99.0,41.84801,-87.68127,1
